X	Y
0013.2749598194	-355.3549567815
0020.1236727957	-254.1190820465
0006.8917550974	-187.7207296598
0006.9420004848	-157.9735939579
0017.4692506822	-140.8190123284
0020.3354886870	-226.8107540855
0010.7784726387	-334.0254797583
0019.4381751916	-188.8676218815
0004.4928371554	-339.2977093086
0008.4232586359	-277.1696615841
0009.6826472461	-267.1097406110
0011.0259345775	-300.7391909938
-000.3472499245	-029.5011853600
0020.2166299811	-263.3101713296
0026.2813901629	-360.6157347434
-001.8277756131	-021.4324121429
0010.1954152883	-014.6958459894
0012.4272649085	-384.6345538408
0015.9700652056	-137.3068894065
0011.8842662539	-068.6737665422
-002.9293535773	-046.2180370631
0010.2635132532	-014.5360515661
0002.1171629206	-073.7030968915
0021.2106650571	-285.3133492416
0005.0005866539	-140.9670955359
0005.6822972761	-227.0935471113
0001.2316294998	-058.1406721956
0024.9388423223	-277.4989830815
0007.9035132948	-167.4080627579
0013.2709043182	-355.1596758346
0005.4642427302	-218.7187034926
0013.5316726441	-058.3091323726
0014.3181749093	-111.7244385207
0019.8868338851	-221.2533298657
0006.8842409931	-188.1618494835
0023.4750863381	-190.9348518553
0007.0984723689	-263.1910306270
0012.1399307146	-362.5851889353
0011.2046069701	-349.8803912453
0027.6433932376	-398.2319815735
0020.1511722678	-254.4621699107
0018.1599852577	-178.2045362038
0012.7800870403	-063.4754947185
0008.5625635596	-277.3659810636
0002.0475900137	-002.6748456514
0026.9583841253	-265.3554540830
0013.2159863399	-093.4016205383
0017.3218771000	-205.8982718063
0009.1802085665	-371.8209906453
0006.0213095209	-136.1106619070
-000.5743377876	-029.3743930424
0026.5303845980	-403.3776738500
0023.5597361739	-191.4008143669
0006.9000795307	-157.9925491048
0023.1893020473	-291.6146060580
0005.9306092846	-327.1415004735
0008.6256483256	-000.8318978614
0020.1436762577	-254.4161206893
0016.8484163219	-116.4487543858
0026.4071904228	-261.9541700244
0010.2733180813	-014.5855289064
0008.9489586980	-248.6667915336
0008.8719640092	-248.7041924864
0001.2351868701	-058.2727684760
-002.0660262492	-016.5422050019
0015.5001069444	-132.3393908665
-000.1203624725	-035.6641017096
0000.2504477472	-112.4047186946
0022.6524749654	-165.9822479010
0009.9571058972	-418.2225103771
0004.6249933222	-134.5089726795
0008.3422147888	-292.3752613338
-002.8526751853	-046.4521266828
0026.8069888176	-389.1608268125
0013.8816919559	-074.1355566302
0017.3244278653	-158.5719556330
0003.7503466274	-193.5094768375
0011.9303969795	-068.7816378610
0026.9430610747	-265.8878214365
0001.0957822425	-058.0421575715
0006.7917195687	-158.6049185595
0004.7562231346	-346.2168631571
0020.4102959599	-226.8541581312
0023.5032467589	-191.2998150587
0010.2284010357	-273.0511341255
0013.4382848540	-355.2816262567
0009.1773140000	-306.0240598344
-002.2500746734	-016.4594340098
0024.8804263016	-277.3684369176
0004.0882708082	-336.3814471715
0026.7049098632	-403.0848466020
0013.2313357703	-355.1036766064
0013.4570098327	-355.1666035496
0014.5966663670	-087.4600346976
0026.7496499337	-367.7579777686
0023.4500378918	-338.5186846036
0021.6681868838	-104.3944215654
0009.1385066563	-371.7384594132
0008.5929614340	-406.0736142887
0010.9582344578	-300.0654942204
0001.5430749850	-066.5551593307
0013.4821303572	-355.2677422515
